SUBID,BLOCK,TRIAL,time,dimensionality_estimate
317,152,11,-458,0.503370786516854
317,152,11,-446,0.536704119850187
317,152,11,-434,0.592134831460674
317,152,11,-422,0.603370786516854
317,152,11,-410,0.62059925093633
317,152,11,-398,0.602996254681648
317,152,11,-386,0.558052434456928
317,152,11,-374,0.569662921348315
317,152,11,-362,0.582022471910113
317,152,11,-350,0.558801498127341
317,152,11,-338,0.564794007490636
317,152,11,-326,0.562172284644194
317,152,11,-314,0.568539325842696
317,152,11,-302,0.557303370786517
317,152,11,-290,0.535580524344569
317,152,11,-278,0.505243445692884
317,152,11,-266,0.528838951310862
317,152,11,-254,0.5
317,152,11,-242,0.495880149812734
317,152,11,-230,0.473408239700374
317,152,11,-218,0.466292134831461
317,152,11,-206,0.450936329588015
317,152,11,-194,0.416104868913858
317,152,11,-182,0.405243445692884
317,152,11,-170,0.395880149812734
317,152,11,-158,0.375280898876404
317,152,11,-146,0.349438202247191
317,152,11,-134,0.370786516853933
317,152,11,-122,0.402247191011236
317,152,11,-110,0.451310861423221
317,152,11,-98,0.476404494382023
317,152,11,-86,0.492134831460674
317,152,11,-74,0.462546816479401
317,152,11,-62,0.465917602996255
317,152,11,-50,0.440823970037453
317,152,11,-38,0.473408239700375
317,152,11,-26,0.495131086142322
317,152,11,-14,0.517228464419476
317,152,11,-2,0.519475655430711
317,152,11,10,0.560674157303371
317,152,11,22,0.573033707865168
317,152,11,34,0.588389513108614
317,152,11,46,0.637827715355805
317,152,11,58,0.622846441947565
317,152,11,70,0.572659176029963
317,152,11,82,0.511985018726592
317,152,11,94,0.523220973782771
317,152,11,106,0.48876404494382
317,152,11,118,0.486516853932584
317,152,11,130,0.464044943820225
317,152,11,142,0.465168539325843
317,152,11,154,0.460674157303371
317,152,11,166,0.471161048689138
317,152,11,178,0.498501872659176
317,152,11,190,0.501498127340824
317,152,12,-794,0.387265917602996
317,152,12,-782,0.402247191011236
317,152,12,-770,0.429213483146068
317,152,12,-758,0.477153558052434
317,152,12,-746,0.475655430711611
317,152,12,-734,0.489138576779026
317,152,12,-722,0.513857677902622
317,152,12,-710,0.51123595505618
317,152,12,-698,0.508988764044944
317,152,12,-686,0.536704119850187
317,152,12,-674,0.564794007490637
317,152,12,-662,0.605992509363296
317,152,12,-650,0.632958801498127
317,152,12,-638,0.67565543071161
317,152,12,-626,0.694756554307116
317,152,12,-614,0.647940074906367
317,152,12,-602,0.667790262172284
317,152,12,-590,0.678277153558052
317,152,12,-578,0.640074906367041
317,152,12,-566,0.631086142322097
317,152,12,-554,0.601123595505618
317,152,12,-542,0.573782771535581
317,152,12,-530,0.547565543071161
317,152,12,-518,0.525842696629213
317,152,12,-506,0.551685393258427
317,152,12,-494,0.572284644194756
317,152,12,-482,0.567415730337079
317,152,12,-470,0.538202247191011
317,152,12,-458,0.535580524344569
317,152,12,-446,0.541198501872659
317,152,12,-434,0.566666666666667
317,152,12,-422,0.556554307116105
317,152,12,-410,0.537078651685393
317,152,12,-398,0.589513108614232
317,152,12,-386,0.625842696629213
317,152,12,-374,0.659176029962547
317,152,12,-362,0.633707865168539
317,152,12,-350,0.576029962546816
317,152,12,-338,0.507490636704119
317,152,12,-326,0.447191011235955
317,152,12,-314,0.453932584269663
317,152,12,-302,0.491385767790262
317,152,12,-290,0.49063670411985
317,152,12,-278,0.528464419475655
317,152,12,-266,0.529213483146067
317,152,12,-254,0.583895131086142
317,152,12,-242,0.651310861423221
317,152,12,-230,0.67940074906367
317,152,12,-218,0.697752808988764
317,152,12,-206,0.710861423220974
317,152,12,-194,0.665168539325843
317,152,12,-182,0.624719101123596
317,152,12,-170,0.610861423220974
317,152,12,-158,0.547191011235955
317,152,12,-146,0.492883895131086
317,152,12,-134,0.423220973782772
317,152,12,-122,0.402621722846442
317,152,12,-110,0.415355805243446
317,152,12,-98,0.459550561797753
317,152,12,-86,0.559550561797753
317,152,12,-74,0.553558052434457
317,152,12,-62,0.570411985018726
317,152,12,-50,0.495131086142322
317,152,12,-38,0.449438202247191
317,152,12,-26,0.398501872659176
317,152,12,-14,0.374157303370787
317,152,12,-2,0.388389513108614
